Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KRAS Signaling Dn,0.33363712981610344,1.3492892285734337,0.037037037037037035,0.3328234367032865,0.506,43/134,19.44%,ABCB11;PRKN;HTR1B;ALOX12B;MSH5;NPY4R;PLAG1;CACNA1F;TCF7L1;ZC2HC1C;CCDC106;AKR1B10;NR6A1;NUDT11;EDN2;ZBTB16;KLHDC8A;IFI44L;SPHK2;IFNG;PRODH;THRB;KCND1;PDCD1;TCL1A;PDK2;MACROH2A2;PDE6B;IL12B;EDAR;DTNB;CPEB3;CAMK1D;HNF1A;SERPINB2;VPS50;RSAD2;SYNPO;IDUA;MYO15A;SIDT1;SLC29A3;RYR2
prerank,Interferon Alpha Response,0.3303741333612961,1.295417995514394,0.05581395348837209,0.3458026236499328,0.664,26/97,22.71%,DHX58;IFI44;BATF2;RTP4;MOV10;OASL;IFI44L;OGFR;MVB12A;PROCR;TRIM21;CASP8;IFIH1;RSAD2;RNF31;TRIM26;HERC6;PARP12;PNPT1;IRF9;GBP2;IFIT2;IFI27;WARS1;EIF2AK2;NMI
prerank,Pancreas Beta Cells,0.4496480093238937,1.375521266728905,0.07390300230946882,0.501552867009688,0.419,7/29,15.74%,PDX1;ISL1;SST;PAK3;INSM1;FOXA2;HNF1A
prerank,Angiogenesis,0.14741505212197675,0.46354310994379055,1.0,0.9999072915218097,1.0,1/32,3.03%,SERPINA5
prerank,Apical Junction,-0.24284258007169607,-0.9946943063144769,0.46551724137931033,1.0,1.0,15/181,11.38%,CD99;CLDN15;ADRA1B;CADM2;CLDN11;IKBKG;AMIGO2;TRO;SHROOM2;ICAM5;NECTIN4;PKD1;CX3CL1;MADCAM1;VAV2
prerank,Pperoxisome,-0.2468277520685713,-0.9247200623386133,0.6149732620320856,1.0,1.0,22/97,25.69%,SERPINA6;NR1I2;CRABP2;CTBP1;EHHADH;CACNA1B;ABCC8;DIO1;PEX14;TSPO;ABCC5;CLN6;UGT2B17;ESR2;SLC35B2;ALDH9A1;HSD3B7;SLC25A17;ERCC3;BCL10;ABCB9;VPS4B
prerank,p53 Pathway,0.2106508302941446,0.904456784339361,0.7417840375586855,1.0,1.0,40/194,24.85%,OSGIN1;TCHH;TSPYL2;TNNI1;WRAP73;ABAT;ZBTB16;CDH13;TRIB3;RALGDS;CYFIP2;KRT17;INHBB;PROCR;GADD45A;CDKN2A;ABHD4;PHLDA3;ALOX15B;APAF1;ERCC5;MAPKAPK3;EPHX1;PTPN14;TCN2;LIF;CSRNP2;SESN1;TRIAP1;BAK1;IRAK1;DDIT3;IP6K2;NDRG1;PIDD1;BAIAP2;CD81;CCP110;CGRRF1;WWP1
prerank,IL-6/JAK/STAT3 Signaling,-0.31558618776730324,-1.1494892194851227,0.1989051094890511,1.0,0.99,5/82,5.22%,CSF2RA;EBI3;IL3RA;IL10RB;TNFRSF12A
prerank,Notch Signaling,0.270372691468429,0.8493221335061906,0.7045908183632734,1.0,1.0,12/32,27.60%,PSENEN;DTX1;HEYL;SKP1;FZD1;SAP30;PPARD;DLL1;LFNG;WNT2;FBXW11;JAG1
prerank,Estrogen Response Late,0.19667735693946273,0.8425207355324688,0.8894348894348895,1.0,1.0,33/184,21.49%,IL17RB;GAL;SERPINA3;SERPINA5;MAPT;XRCC3;TFPI2;BLVRB;GJB3;FOXC1;SIAH2;GPER1;WFS1;SULT2B1;KLK10;ARL3;OLFM1;SEMA3B;MOCS2;DNAJC12;RAPGEFL1;MDK;JAK2;KCNK5;CCN5;ACOX2;BAG1;DUSP2;KLK11;PLK4;ALDH3A2;TMPRSS3;ETFB
prerank,Spermatogenesis,0.2145669602497513,0.8311413158176204,0.8523206751054853,1.0,1.0,14/91,15.56%,NEFH;ZC2HC1C;OAZ3;ELOVL3;HSPA1L;PSMG1;DMC1;ACE;AURKA;PGS1;MTNR1A;ACRBP;NCAPH;IP6K1
