Term,NES_tumor,FDR q-val_tumor,NES_pdx,FDR q-val_pdx
TNF-alpha Signaling via NF-kB,2.930068919883617,0.0,2.9451501378979583,0.0
Epithelial Mesenchymal Transition,2.8267518188033227,0.0,2.8743305438703914,0.0
Inflammatory Response,2.7516938935402324,0.0,2.707869621797316,0.0
mTORC1 Signaling,2.3991612619900047,0.0,2.384181880800064,0.0
E2F Targets,2.337803408245078,0.0,2.35720590744554,0.0
Angiogenesis,2.270142157122596,0.0,2.304595948808052,0.0
Hypoxia,2.261149708259178,0.0,2.244600685933972,0.0
G2-M Checkpoint,2.2147042377277524,0.0,2.2540223601862017,0.0
Coagulation,2.2077363922300366,0.0,2.2037120321503085,0.0
Complement,2.15948571321934,0.0,2.1889370294020654,0.0
KRAS Signaling Up,2.130613171030176,0.0,2.128920229811051,0.0
Myc Targets V1,2.1230142186993954,0.0,2.1699363447592357,0.0
IL-6/JAK/STAT3 Signaling,2.113204119782698,0.0,2.0813782990662215,0.0
Apoptosis,2.0906162950104856,0.0,2.0830998140688277,0.0
Unfolded Protein Response,2.0402209142482786,0.0,2.0137411416785835,0.0
UV Response Up,2.0263432211809342,0.0,1.963547860665657,0.0
Glycolysis,1.9880767836544337,0.0,1.9975186341988693,0.0
Myc Targets V2,1.9658245043236802,0.0,1.9537549744804765,0.0
DNA Repair,1.8956445679065859,0.00011979589773922679,1.9124670299463162,0.0
IL-2/STAT5 Signaling,1.8705769616722014,0.0001707091542783982,1.8943775552833046,0.0
Reactive Oxygen Species Pathway,1.8252435495412938,0.00037935367617421815,1.781035942534526,0.00034168612235063435
p53 Pathway,1.8237042794172926,0.00036211032725720827,1.8842321321457285,0.0
Allograft Rejection,1.7849388627749565,0.0004948091428359367,1.794475600273575,0.00030618626548303596
Myogenesis,1.7824653134351585,0.0004741920952177727,1.7657455273270493,0.0005145630294923244
TGF-beta Signaling,1.769275712273465,0.0007283590582544988,1.7471811341849481,0.0006736097840626792
Interferon Gamma Response,1.6683857338280665,0.002582523103186024,1.7103106403034247,0.0015113040027047288
Mitotic Spindle,1.5924560025305339,0.006069658818787491,1.647487370197643,0.0034096297711814624
Cholesterol Homeostasis,1.5761519251276914,0.007153526464999542,1.61968483599341,0.004490731893751194
Estrogen Response Late,1.5653810046874184,0.00773096629720562,1.509254574065291,0.014848387713209593
UV Response Dn,1.5161643207826203,0.013694667709889276,1.540344032280448,0.010927447608127906
Apical Junction,1.5123276175258862,0.013840290572678734,1.5021202059089243,0.015752645471049112
Notch Signaling,1.512076247345923,0.013407781492282524,1.5568849895383536,0.009484735465250367
Apical Surface,1.5016989427933816,0.01482928006862853,1.4655477222023081,0.021132855970593854
Estrogen Response Early,1.4032503212005973,0.03882796450253762,1.4974914983027876,0.016193851374436123
Wnt-beta Catenin Signaling,1.4017626321609042,0.038238850558361195,1.4310599612535149,0.02954260052960607
